"id","jira_parent_id","candidate_id","project_id","ticket_number","interview_number","interview_type","interview_technology","interview_language","interview_seniority_level","task_status","task_created_date","interview_date","subjective_readiness","interviewer_comment"
273,,,,SE-30106,,SOFT,,ENGLISH,,FOUND_A_TEACHER,"2022-07-18 10:40:47","2022-07-20 05:00:00",,
274,,,,SE-30009,,SOFT,,ENGLISH,,FOUND_A_TEACHER,"2022-07-18 03:57:05","2022-07-19 05:00:00",,
275,,,,SE-29980,,SOFT,,ENGLISH,,FOUND_A_TEACHER,"2022-07-15 11:27:29","2022-07-19 04:00:00",,
276,,,,SE-29968,,SOFT,,ENGLISH,,FOUND_A_TEACHER,"2022-07-15 10:03:14","2022-07-19 10:00:00",,
277,,,,SE-29887,,SOFT,,ENGLISH,,RESOLVED,"2022-07-14 14:10:19","2022-07-18 03:00:00",85.0,"Vasiliy is a candidate with good experience, nice soft skills, he is open, friendly and ready to keep the conversation going. The candidate's self-presentation was well-structured, detailed, contained all relevant information. Vasiliy was ready to speak about his strong and weak points, provided personal examples. Some points to consider: 1)remember how to deal with the situations when you don't know how to answer the question  2)make your answers as extensive as possible, it's your chance to present yourself in a brighter light  3)we use Present Perfect when we talk about experience, Past Simple for definite things that happened in the past  4)don't mix modal verbs (can/must/should) and auxiliaries together : I don't code vs I can't code. I wish Vasiliy good luck!			"
278,,,,SE-29885,,SOFT,,ENGLISH,,FOUND_A_TEACHER,"2022-07-14 13:27:50","2022-07-19 05:00:00",,
279,,,,SE-29808,,SOFT,,ENGLISH,,CANCELED,"2022-07-14 06:37:45","2022-07-15 05:00:00",,
280,,,,SE-29780,,SOFT,,ENGLISH,,CANCELED,"2022-07-14 04:28:56","2022-07-18 05:00:00",,
281,,,,SE-29744,,SOFT,,ENGLISH,,IN_PROGRESS,"2022-07-13 13:55:58",,,
282,,,,SE-29731,,SOFT,,ENGLISH,,RESOLVED,"2022-07-13 12:17:49","2022-07-14 09:00:00",86.0,"Illia is a strong candidate with good soft skills, he is open, friendly and keeps the conversation going. His self-presentation was well-structured, detailed and had all necessary and relevant information. Illia's English level is high enough to communicate with the interviewer in English. Some points to consider: 1)pronunciation of the words 'colleague, methodology'  2)behind vs except for   3)we can reach/ achieve our goals/aims/targets  4)motivating vs motivated.  I wish Illia good luck!			"
283,,,,SE-29724,,SOFT,,ENGLISH,,RESOLVED,"2022-07-13 11:32:42","2022-07-15 10:30:00",70.0,"The candidate needs to improve the self-presentation (expand it with more of the details on your experience, achievements, impact). Try to show more enthusiasm and inspiration to be a part of the project. Prepare a few questions to the potential customer. Remember to to mention the result already reached while struggling with the weaknesses. Miminimize on the use of the gestures. Make sure that the camera is not shaking. Remember that at least 70% of the time tje eye contact is required to be kept. The English level needs to go through some improvement (grammar, vocabulary and the fluency of speech are to be improved). Thank you and do your best!			"
