"id","jira_parent_id",candidate_id,"project_id","ticket_number","interview_number","interview_type","interview_technology","interview_language","interview_seniority_level","task_status","task_created_date","interview_date","subjective_readiness","interviewer_comment","project_name"
744,474,3470,195,SPT-15744,2,TECH,React,RUSSIAN,,DONE,"2022-07-19 07:18:06","2022-07-21 11:00:00",78.0,"Сильные стороны: Хорошая работа над ошибками

Слабые стороны: нехватка знаний по некоторым темам

",Философия ИТ
746,425,7642,1340,SPT-15741,2,TECH,Java,RUSSIAN,M1,DONE,"2022-07-19 06:17:44","2022-07-20 06:00:00",70.0,"Сильные стороны:

Слабые стороны:
Нерелевантный опыт тестирования на предыдущем проекте, а точнее отсутствие тестирования, нужно догонять это теорией",Сбер РБ ДомКлик_ЕФС
747,420,1687,1326,SPT-15740,2,TECH,Java,RUSSIAN,J2,DONE,"2022-07-19 06:04:17","2022-07-19 15:00:00",95.0,"Сильные стороны: Java core, Spring core, SQL

Слабые стороны:

",Сбер РБ Платежи&Переводы
749,563,1429,195,SPT-15734,2,TECH,Java,RUSSIAN,J1,DONE,"2022-07-18 15:40:56","2022-07-20 06:00:00",75.0,"Сильные стороны: Java Core, Spring

Слабые стороны: Jenkins, Ansible, ELK

",Философия ИТ
750,193,12214,922,SPT-15732,3,TECH,React,ENGLISH,M2,DONE,"2022-07-18 14:42:31","2022-07-20 06:00:00",95.0,"Сильные стороны:
React App performance improvements
HTML improvements
Script async vs defer
Core Web Vitals metrics
Time to first byte
Critical path rendering
SSR
NextJs and performance improvement
Hydration 
getServerSideProps
getStaticPaths
getStaticProps
useRef vs useState
Promise
Img formats that are better for web usage

Слабые стороны:
React Context vs Redux
",Moovforge
752,581,4550,92,SPT-15729,2,TECH,QAAutomationCsharp,ENGLISH,M1,DONE,"2022-07-18 14:11:55","2022-07-20 13:30:00",90.0,"Сильные стороны: good theoretical  knowledge and  practice, he is rather confident on an  interview

Слабые стороны: lack of knowledge - DB  - explaining on English some basic topics

",Alternative Payments PSD2
756,578,6073,639,SPT-15723,2,TECH,ProjectManagement,ENGLISH,J3,DONE,"2022-07-18 13:24:44","2022-07-19 14:00:00",70.0,"Сильные стороны: 
Fluent English
Relevant experience and good overall SDLC understanding

Слабые стороны:
Poor self-presentation and promotion (more of team-based)
Lack of concrete examples and PM artefacts mentioned
",Majorel
759,523,2605,351,SPT-15714,1,TECH,SystemAnalyst,RUSSIAN,M1,DONE,"2022-07-18 11:54:37","2022-07-19 09:30:00",55.0,"Сильные стороны: SOAP

Слабые стороны: BPMN, микросервисная архитектура, REST

",BSS Group
762,510,7781,16,SPT-15711,1,TECH,Java,RUSSIAN,,DONE,"2022-07-18 11:04:12","2022-07-19 06:00:00",85.0,"Сильные стороны:
Хорошо рассуждает, комментирует при лайфкодинге
Слабые стороны:

",Яндекс Медиалаб
763,466,7614,1389,SPT-15707,2,TECH,QAAutomationJava,RUSSIAN,,DONE,"2022-07-18 10:03:14","2022-07-19 10:00:00",65.0,"Сильные стороны: java core, тестирование апи, selenium

Слабые стороны: мобильное тестирование, cucumber, selenide
В целом кандидат понимает основные особенности мобильного тестирования, есть практический опыт работы с мобилками, нужны дополнительные прогоны и подготовка. 
",Laba_Sales
